Customer	AddressLine	City	Municipality	AdminDivision	Country	PostCode	Latitude	Longitude	Phone	Fax	Sample
Z DE-CHLORINATOR	12012 ACACIA AVE	GARDEN GROVE		CA	US	92840	33.775649	-117.923087	714-743-2887		XX
GUARDIAN FIRE EQ CO	3430 NW 38TH ST	MIAMI		FL	US	33142	25.809999	-80.252244	305-633-0361	305-638-4632	XX
CASCADE FIRE EQUIP	BOX 4248	MEDFORD		OR	US	97501	42.265974	-122.900832	541-779-0394	541-779-8847	XX
OHLER PUMP A DIV OF WS DARLEY	PO BOX 386	JANESVILLE		IA	US	50647	42.64609	-92.46296	319-987-2121	319-987-2161	XX
CASCO INDUSTRIES INC	BOX 8007	SHREVEPORT		LA	US	71148	32.413048	-93.75301	318-865-5107	318-865-8157	XX
SUTPHEN CORPORATION	PO BOX 158	AMLIN		OH	US	43002	40.062362	-83.170873	614-889-1005	614-889-0874	XX
FIRE HOOKS UNLIMITED INC	1827 OLD MILL RD	WALL		NJ	US	07719	40.163271	-74.052491	732-280-7737	732-280-7792	XX
HI-TECH EMERGENCY VHCL SRV INC	PO BOX 1616	OAKDALE		CA	US	95361	37.839643	-120.698578	209-847-3042	209-847-2110	XX
"TRIDENT EMERGENCY PRODUCTS,LLC"	"2940 TURNPIKE DRIVE, SUITE#9"	HATBORO		PA	US	19040	40.162052	-75.10267	215-293-0700	215-293-0701	XX
HEIMAN INC.	PO BOX 248	ASHTON		IA	US	51232-0248	43.309073	-95.772984	800-831-8547	712-724-6474	XX
"BANNER FIRE EQUIPMENT, INC"	4601 HEDGE RD	ROXANA		IL	US	62084-2748	38.819536	-90.04824	618-251-4200	618-251-6020	XX
C W WILLIAMS & COMPANY LLC	574 ENGLISH ROAD	ROCKY MOUNT		NC	US	27804	35.980378	-77.850751	252-977-3610	252-977-2684	XX
FIRELINE INC	725 PATRICK INDUSTRIAL LANE	WINDER		GA	US	30680	33.987138	-83.698498	770-868-4448	770-868-4455	XX
KANSAS FIRE EQ CO	123 SOUTH OSAGE	WICHITA		KS	US	67213	37.683277	-97.34963	316-262-8943	316-264-4461	XX
WILDFIRE TRUCK & EQUIPMENT	1111 WEST ABRAM STREET	ARLINGTON		TX	US	76013	32.736465	-97.121493	888-452-2701	817-783-6622	XX
CHURCHVILLE FIRE EQUIP CO	340 SANFORD RD SO	CHURCHVILLE		NY	US	14428	43.09008	-77.892972	585-293-1688	585-293-1833	XX
CUSTOM FIRE APP INC	509 68TH AVE	OSCEOLA		WI	US	54020	45.307244	-92.695684	800-443-8851	715-294-2168	XX
"SPARTAN MOTORS USA, INC - SD"	907 SEVENTH AVENUE NORTH	BRANDON		SD	US	57005	43.60582	-96.579417	605-582-2300	605-582-4001	XX
WFGEAR PRODUCT SALES	55 GRASSO PLAZA #20192	ST LOUIS		MO	US	63123	38.551793	-90.334971	314-270-9416	314-270-9416	XX
FIREPENNY	8940 W 192ND ST - SUITE I	MOKENA		IL	US	60448	41.541052	-87.834757	708-929-4244	708-929-4244	XX
ARTESIA FIRE EQUIP	P O BOX 1367	ARTESIA		NM	US	88211-1367	32.753571	-104.328113	575-746-2426	575-748-1128	XX
FIRE SAFETY USA	3253 19TH STREET NW	ROCHESTER		MN	US	55901	44.044661	-92.511239	507-529-8444	507-529-8111	XX
FINLEY FIRE EQ CO	5255 N ST RT 60 NW	MCCONNELSVILLE		OH	US	43756	39.679179	-81.885148	740-962-4328	740-962-5422	XX
WALLY'S FIRE & SFTY EQUIP INC	PO BOX 1023	MULLINS		SC	US	29574	34.159262	-79.273221	888-784-2224	843-464-1001	XX
MACQUEEN EMERGENCY GROUP	"14607 FELTON COURT, SUITE 109"	APPLE VALLEY		MN	US	55124	44.738554	-93.195359	651-645-5726		XX
OSHKOSH FIRE & POLICE EQUIP IN	175 INDIAN POINT ROAD	OSHKOSH		WI	US	54901	44.097101	-88.540906	920-235-3610	920-235-3287	XX
NEWTON'S FIRE & SFTY EQ CO	2724 DARRELL NEWTON DRIVE	GRAHAM		NC	US	27253	36.022844	-79.362075	336-578-3931	336-578-1982	XX
SOUTH COAST EMERGENCY VEHICLE	2020 S BAKER STREET	ONTARIO		CA		91761	34.036861	-117.616538	909-930-2278	909-930-5258	XX
WATEROUS CO	125 HARDMAN AVE S	SO ST PAUL		MN	US	55075	44.893079	-93.027931	651-450-5000	651-450-5095	XX
MCGINLEY FIRE APPARATUS CO **	901 W WASHINGTON STREET	LEBANON		IN	US	46052	40.04834	-86.476204	317-482-3152	765-482-0558	XX
W S DARLEY & CO	1051 PALMER ST	CHIPPEWA FALLS		WI	US	54729	44.952178	-91.3783	715-726-2645	715-720-2722	XX
"NEW ENGLAND MFG, LLC"	"47 INDUSTRIAL PARK RD, UNIT D"	ROMNEY		WV	US	26767	39.354237	-78.756169	800-430-0980	321-727-7841	XX
EVS MID-SOUTH EMERGENCY EQ	892 KANSAS STREET	MEMPHIS		TN	US	38106	35.123268	-90.065232	901-948-1625	901-942-2724	XX
ALL AMERICAN FIRE EQ. CO. **	P O BOX 146	ONA		WV	US	25545	38.456541	-82.234177	304-733-3581	304-736-9557	XX
"ROSENBAUER AERIALS, LLC"	870 SOUTH BROAD ST	FREMONT		NE	US	68025	41.420858	-96.499782	402-721-7622	402-721-7622	XX
"FIRE & MARINE, INC."	5325 PROSPERITY DRIVE	SPRINGFIELD		OH	US	45502	40.001734	-83.801441	937-323-2770	937-322-2884	XX
SUTPHEN TOWERS	4500 SUTPHEN COURT	HILLIARD		OH	US	43026	40.029255	-83.137543	614-876-1262	614-876-3073	XX
"FIRE CONNECTIONS, INC."	2520 N. WESLEYAN BLVD.	ROCKY MT		NC	US	27804	35.997994	-77.77762	252-972-3473	252-972-6846	XX
ATLANTIC EMERGENCY SOLUTIONS	12351 RANDOLPH RIDGE LANE	MANASSAS		VA	US	20109	38.792341	-77.562813	800-442-9700	703-393-8244	XX
"LENCO INDUSTRIES, INC"	10 BETNR INDUSTRIAL DRIVE	PITTSFIELD		MA		01201	42.437696	-73.295627	413-443-7359		XX
MIDWEST FIRE EQ & REPAIR CO	P O BOX 524	LUVERNE		MN	US	56156	43.698546	-96.163242	507-283-9141	507-283-9142	XX
"HALL-MARK FIRE APPARATUS, INC"	725 SW 46TH AVENUE	OCALA		FL	US	34474	29.179573	-82.195635	352-629-6305	352-629-2018	XX
FIRE & SPECIALTY EQUIPMENT CO.	235 ROGERS DRIVE	SHEPHERDSVILLE		KY	US	40165	38.052185	-85.703579	502-957-2145	502-957-2146	XX
"AIR ONE EQUIPMENT, INC."	360 PRODUCTION DRIVE	SOUTH ELGIN		IL		60177-2637	42.009949	-88.298978	847-289-9000	847-289-9001	XX
"BONAVENTURE COMPANY, INC."	PO BOX 43	RAYNE		LA	US	70578	30.256405	-92.261328	337-334-4900	337-334-8885	XX
ALEXIS FIRE EQ CO	BOX 549	ALEXIS		IL	US	61412	41.06337	-90.55597	800-322-2284	309-482-3431	XX
OCHOCO MANUFACTURING CORP	PO BOX 66	PRINEVILLE		OR	US	97754	44.16805	-120.660334	541-447-5502	541-447-6987	XX
FYR-TEK	715 4TH STREET	GOTHENBURG		NE	US	69138	40.923195	-100.166011	308-537-7304	308-537-3242	XX
ALEX AIR APPARATUS INC	11897 CO RD 87 SE	ALEXANDRIA		MN	US	56308	45.783598	-95.350533	320-763-7803	320-763-9077	XX
"R & R FIRE TRUCK REPAIR, INC."	751 DOHENY	NORTHVILLE		MI	US	48167	42.430562	-83.474688	248-344-4443	248-344-8630	XX
DAVIDS FIRE EQ CO	8783 JOHN HARDEN	CABOT		AR	US	72023	34.931768	-92.080533	800-264-0017	501-941-3315	XX
SUPER VACUUM MFG CO	BOX 87	LOVELAND		CO	US	80539	40.432959	-105.098344	970-297-7100	970-297-7099	XX
EMERGENCY APPARATUS MAINT.	7512 FOURTH AVENUE	LINO LAKES		MN	US	55014	45.179162	-93.121844	651-786-4463	651-786-0517	XX
"ARNOLD FIRE EQUIPMENT, LLC"	253 HILL ROAD	HONEY BROOK		PA		19344	40.054051	-75.876034	610-273-7073	612-273-2003	XX
JEFFERSON FIRE & SFTY CO	7620 DONNA DR	MIDDLETON		WI	US	53562	43.106014	-89.512898	608-836-0068	608-836-4927	XX
GOLDEN STATE EMERGENCY VHC SVC	7400 REESE ROAD	SACRAMENTO		CA		95828	38.488588	-121.398115	916-330-4638		XX
"PRECISION INSTALLATIONS, INC"	660 WATERMARK COURT	NEENAH		WI	US	54956	44.237992	-88.471209	920-360-1380	920-380-1361	XX
SAFE INDUSTRIES	5031 HWY 153	EASLEY		SC	US	29642	34.814733	-82.518697	864-845-7175	864-845-7176	XX
CONRAD FIRE EQUIP INC	887 NO JAN-MAR COURT	OLATHE		KS	US	66061	38.891427	-94.881709	913-780-5521	913-780-5251	XX
WEIS FIRE & SAFETY EQUIPMENT	P O BOX 3467	SALINA		KS	US	67402	38.78359	-97.650446	785-825-9527	785-825-9538	XX
"FIRE SERVICE, INC."	9545 INDUSTRIAL DRIVE NORTH	ST JOHN		IN	US	46373	41.445875	-87.463629	219-365-7157	219-365-8572	XX
ALLSAFE INC	4767 LANGTON ROAD	HILLIARD		OH	US	43026	40.040241	-83.214538	614-876-4041	614-876-9645	XX
ALLSTAR FIRE EQUIPMENT	12328 LOWER AZUSA RD	ARCADIA		CA	US	91006	34.088622	-117.999674	626-652-0900	626-652-0920	XX
ED M FELD EQ CO	P O BOX 625	CARROLL		IA	US	51401	42.042547	-94.8338	712-792-3143	712-792-6658	XX
TENNESSEE FIRE EQP. SFTY SUPP	5944 SHALLOWFORD ROAD SUITE B	CHATTANOOGA		TN	US	37421	35.054222	-85.195369	423-265-9100	423-265-0083	XX
LAKES REGION FIRE	P O BOX 970	WEST OSSIPEE		NH	US	03890	43.811782	-71.194586	603-323-7117	603-323-7447	XX
HAYDEN & COMPANY	2604-B WEST 83RD ST	DARIEN		IL	US	60561	41.737164	-88.008448	630-910-6244	630-910-6245	XX
FIRE DEPT SERVICE & SPLY CO	PO BOX 20207	LOUISVILLE		KY	US	40250	38.188962	-85.676819	502-297-8180	502-297-8181	XX
TRUE NORTH EMERGENCY EQUIPMENT	3150 SE CENTURY BLVD - STE 100	HILSBORO		OR	US	97123	45.495442	-122.917162	503-848-3276	503-848-0848	XX
RELIANCE EQUIPMENT CO	1500 RIVERSIDE DR	VASSALBORO		ME	US	04989	44.410937	-69.70859	207-626-0075	207-626-5797	XX
FIRE TECH & SAFETY OF NEW ENG	PO BOX 435	WINTHROP		ME	US	04364	44.322865	-69.957627	207-377-2800	207-377-6260	XX
LEO M ELLEBRACHT CO	104 MULLACH COURT	WENTZILLE		MO	US	63385	38.800765	-90.817713	636-332-6985	636-332-8046	XX
SUPERIOR EQUIPMENT	BOX 399	MIDVALE		UT	US	84047	40.61106	-111.89994	801-566-2437	801-565-0671	XX
PATRIOT FIRE LLC	PO BOX 69	GRASONVILLE		MD	US	21638	38.95598	-76.19635	410-476-3152	410-476-3154	XX
"RESCUE VEHICLES, INC"	37 JULES CT	BOHEMIA		NY	US	11716-4102	40.767372	-73.082194	631-567-2704	631-567-2715	XX
SENTINEL EMERGENCY SOLUTIONS	502 S RICHLAND	FREEBURG		IL	US	62243	38.421655	-89.913687	618-539-3863	618-539-4850	XX
CLAREY'S SAFETY EQUIPMENT	PO BOX 5827	ROCHESTER		MN	US	55903	43.996613	-92.540929	507-289-6749	507-289-5213	XX
EMPORIUM ENGRAVING BY LOUIS DO	92 MILLS RD	NEWCASTLE		ME		04553	44.04087	-69.534492	207-563-7773	207-563-5708	XX
"HOOSIER FIRE EQUIP, INC."	4009 MONTDALE PARK DRIVE	VALPARAISO		IN	US	46383	41.445175	-87.013616	219-462-1707	219-464-0283	XX
VOGELPOHL FIRE EQUIP INC.	2770 CIRCLEPORT DR	ERLANGER		KY	US	41018	39.019684	-84.591389	859-282-1000	859-282-1550	XX
V.R.S. SALES	PO BOX 4060	CLIFTON PARK		NY	US	12065	42.850576	-73.792524	518-877-6565	518-877-6414	XX
"PHOENIX INDUSTRIES, LLC"	1338 GRAND AVE #294	GLENWOOD SPRING		CO		81601	39.539208	-107.324438	9706-184-0658		XX
"SOUTHEAST APPARATUS, LLC"	326 OLD LYNN CAMP SCHOOL RD	CORBIN		KY	US	40701	36.870182	-84.242483	606-523-4497	606-528-2824	XX
JEROME FIRE EQUIPMENT CO	8721 CAUGHDENOY ROAD	CLAY		NY	US	13041	43.193414	-76.167472	315-699-5288	315-699-8895	XX
"HAR-ROB FIRE APP. SERVICE, INC"	5089 WHIRLYBIRD LANE	EAST SYRACUSE		NY	US	13057-2910	43.050485	-76.067054	315-422-0730	315-422-9073	XX
"RED POWER DIESEL SERVICE,INC."	W1588 ALP AVE	FREMONT		WI	US	54940	44.228952	-88.960013	920-867-5012		XX
"SANDRY FIRE SUPPLY, LLC"	618 6TH STREET	DEWITT		IA	US	52742	41.821398	-90.539153	563-659-2357	563-659-8147	XX
FIRETRUCKS UNLIMITED - NV	1175 CENTER POINT DR	HENDERSON		NV	US	89074	36.039698	-115.037079	702-558-3352		XX
"SHIPMAN'S FIRE EQUIP CO, INC."	P O BOX 257	WATERFORD		CT	US	06385	41.36173	-72.156576	860-442-0678	860-444-7395	XX
SUMMIT COMPANIES	1902 WEST 1ST STREET	DULUTH		MN	US	55806	46.769338	-92.122914	218-740-4412	218-740-4413	XX
SO SHORE FIRE & SFTY EQ DIST	579 EAST MEADOW AVENUE	EAST MEADOW		NY	US	11554	40.710611	-73.554469	516-794-4000	516-794-1016	XX
POTTER-ROEMER INC - AP	PO BOX 3527	CITY OF INDUSTR		CA	US	91744-0527	34.031415	-117.93647	800-366-3473	626-937-4728	XX
DELTA INDUSTRIAL SERV & SUPPLY	3159 SUMMIT DR	PORT NECHES		TX		77651	29.956407	-93.959531	409-724-1055	409-722-8062	XX
ADH MARKETING	6360 RIATA LANE	BRENHAM		TX	US	77833	30.113105	-96.509469	979-277-8593	979-836-7436	XX
COLUMBUS SUPPLY	3923 E. MAIN ST.	COLUMBUS		OH	US	43213	39.955782	-82.894633	614-237-2933	614-235-3992	XX
SIDDONS-MARTIN EMERGENCY GROUP	1362 E RICHEY RD	HOUSTON		TX	US	77073	29.996351	-95.406081	281-442-6806	281-442-9026	XX
GLOBAL EMERGENCY PRODUCTS	1401 N FARNSWORTH AVENUE	AURORA		IL	US	60505	41.78553	-88.28116	630-978-5151	630-978-1155	XX
ANCHOR RICHEY EMERG. VHCL SRVC	PO BOX 6342	HICKORY		NC	US	28603	35.679876	-81.287181	828-495-8145	828-495-3025	XX
"FREIGHTLINER OF ARIZONA, LLC"	9899 WEST ROOSEVELT STREET	TOLLESON		AZ	US	85353	33.456945	-112.26999	623-907-9900	623-907-6402	XX
GREENWOOD EMERGENCY VEHICLES	530 JOHN DIETSCH BLVD	NORTH ATTLEBORO		MA	US	02763	41.972584	-71.308229	508-695-7196	508-695-7138	XX
"STAINLESS & REPAIR, INC"	8765 EAST 29TH STREET	MARSHFIELD		WI	US	54449	44.640571	-90.152384	715-591-4933	715-591-4240	XX
DILL'S FIRE & SFTY EQUIP. CO.	BOX 339 - 400 SAND STREET	RAVENSWOOD		WV	US	26164	38.98882	-81.713983	304-273-5308	304-273-3463	XX
BLUE RIDGE RESCUE SUPPLIERS	1273 COLONIAL FORT DRIVE	MONTVALE		VA	US	24122	37.380005	-79.714684	866-411-9745	866-411-9745	XX
"EAST COAST SERVICE CENTER, INC"	4 INDUSTRIAL WAY	CASCO		ME		04015	43.926918	-70.534324	207-655-9605	207-655-9605	XX
SPENCER MANUFACTURING INC	165 VETERANS BLVD	SOUTH HAVEN		MI	US	49090	42.41023	-86.244914	269-637-8721	269-639-1697	XX
EMERGENCY EQUIPMENT PROFESS.	PO BOX 1739	SOUTHHAVEN		MS	US	38671	34.956633	-89.99624	662-280-4729	662-342-7251	XX
AMERICAN EMERGENCY PRODUCTS	30 COUNTY ROAD 370	CRANE HILL		AL		35053	34.116121	-87.018898	256-339-0130	256-747-3813	XX
FIRE COMBAT	2650 INDUSTRIAL PARK	MARINETTE		WI	US	54143	45.081842	-87.642522	715-735-9058	715-735-7223	XX
BRINDLEE MNT. FIRE APPARATUS	15410 HWY 231	UNION GROVE		AL	US	35175	34.460234	-86.55809	256-498-1395	256-498-0924	XX
BURTON'S FIRE INC	1301 DOKER DR	MODESTO		CA	US	95351	37.648494	-121.026172	209-544-3161	209-544-1109	XX
FOL DA TANK CO	PO BOX 110	MILAN		IL	US	61264	41.420305	-90.595736	800-637-8265	309-787-3635	XX
"WIRFS INDUSTRIES, INC."	4021 W MAIN ST	MCHENRY		IL		60050	42.34356	-88.277505	815-344-0464	815-344-0635	XX
FIRE APPARATUS SOLUTIONS	1762 S SYCAMORE AVE	RIALTO		CA	US	92376	34.069754	-117.366066	714-357-9706	909-421-4150	XX
"EAGLE ENGRAVING, INC."	PO BOX 541	ST CHARLES		IL	US	60174	41.930757	-88.298737	630-377-1056	630-377-1286	XX
J MARCOZ EMERGENCY VEHICLE	562 BROADWAY EXT	E MC KEESPORT		PA		15035	40.387384	-79.803211	412-816-2300		XX
FIRE LINE EQUIPMENT	307 TWIN SPRINGS COURT	NEW HOLLAND		PA	US	17557	40.112276	-76.054442	717-354-8103	717-427-1607	XX
GENERAL FIRE EQP SALES & SERV	5090 RAMBLE ROAD	VIRGILINA		VA	US	24598	36.675601	-78.755542	434-579-7581		XX
WESTEX WELDING LLC	210 COTTONWOOD RD	WEST		TX	US	76691	31.802629	-97.087991	254-826-5343	254-826-3088	XX
GUNNERS METERS & PARTS	454 N CASS AVENUE	PONTIAC		MI	US	48342	42.647217	-83.307075	248-332-4304	248-332-4307	XX
LAFRANCE EQUIPMENT CORP	516 ERIE STREET	ELMIRA		NY	US	14904	42.079058	-76.799594	607-733-5511	607-733-0482	XX
"AMTHOR INTERNATIONAL, INC"	237 INDUSTRIAL DR	GRETNA		VA	US	24557	36.948819	-79.373038	845-778-5576	434-656-6601	XX
WM SHOEMAKER INC	399 PLEASANT AVE	HAMBURG		NY	US	14075	42.721572	-78.842628	716-649-0511	716-646-2170	XX
BAMS HOOK AND HOSE FIRE EQUIP	5743 BUCKS ROAD	MILFORD		DE		519963	38.906187	-75.395437	410-310-1695		XX
ALL HANDS FIRE EQUIPMENT	PO BOX 1245	WALL		NJ	US	07719	40.168908	-74.073226	732-502-8060	732-502-8064	XX
"GREAT PLAINS FIRE, INC."	17277 230TH ST.	FERGUS FALLS		MN	US	56537	46.300278	-96.127487	888-993-9889	888-992-9449	XX
R C FIRE EQUIPMENT INC	3860 FOUR ROD ROAD	EAST AURORA		NY	US	14052	42.784992	-78.536155	716-652-1555	716-652-1555	XX
GENERAL FIRE APPARATUS CO	3924 E TRENT AVE	SPOKANE		WA	US	99202	47.670385	-117.351853	509-535-4255	509-534-8529	XX
APPARATUS EQUIPMENT & SERVICE	1103 SOUTH 700 WEST	SALT LAKE CITY		UT	US	84104	40.744876	-111.910614	801-886-0600	801-886-0615	XX
KEYSTONE FIRE APPARATUS	1751 MCKEES ROCKS RD	MCKEES ROCKS		PA	US	15136	40.467731	-80.088504	412-771-7722	412-771-7780	XX
DONLEY SAFETY & SERV	5546 ELMWOOD COURT	INDIANAPOLIS		IN	US	46203	39.707922	-86.071072	317-786-2268	317-786-2532	XX
"DOUBLE A TRAILER SALES, INC."	PO BOX 129	DELPHOS		OH	US	45833	40.794444	-84.311596	419-692-7626	419-695-4520	XX
"FIRE & SAFETY SERVICES, LTD"	200 RYAN ST	SO PLAINFIELD		NJ	US	07080	40.560688	-74.415656	800-400-8017	908-412-0513	XX
"GOLDY'S FIRE APPARATUS, LLC"	738 LAKE PARK DR	TUPELO		MS	US	38801	34.262925	-88.71294	662-401-5152	662-840-3740	XX
HERB FIRE EQUIPMENT	7525 COOK RD	POWELL		OH	US	43065	40.173615	-83.16203	614-296-1459	614-570-7525	XX
DPC EMERGENCY EQUIPMENT	335 STRAUSS AVENUE	MARYDEL		DE	US	19964	39.116122	-75.743594	302-492-1245	302-492-1340	XX
SOUTH COAST FIRE EQUIP. INC.	2020 SOUTH BAKER AVE	ONTARIO		CA	US	91761	34.036861	-117.616538	909-673-9900	909-673-9700	XX
FRONT LINE SERVICE INC	8588 CARTER RD	FREELAND		MI	US	48623	43.535271	-84.129695	989-695-6633	989-695-6636	XX
DACO	P O BOX 5006	LUBBOCK		TX	US	79408	33.565926	-101.92669	806-763-0808	806-763-9151	XX
"MID AMERICA FIRE & SAFETY, LLC"	4001 NORTH ST JOESEPH AVE	EVANSVILLE		IN	US	47720	38.059937	-87.637962	812-423-5505	812-423-5553	XX
"FIRE MASTER FIRE EQUIPMENT,INC"	2049 E DIVISION	SPRINGFIELD		MO	US	65803	37.225989	-93.255016	417-865-8713	417-865-2174	XX
MUNICIPAL EQUIPMENT COMPANY	2049 WEST CENTRAL BLVD	ORLANDO		FL	US	32805	28.542181	-81.407385	800-228-8448	407-648-4142	XX
ROSS VALVE MFG CO INC	P O BOX 595	TROY		NY	US	12181	42.738678	-73.673862	518-274-0961	518-274-0210	XX
GA CHIVVIS CORP	35 EASTON ST	LINDENHURST		NY	US	11757	40.690365	-73.374371	631-842-9055	866-735-9185	XX
NARDINI FIRE EQ CO	405 W CTY RD E	ST PAUL		MN	US	55126	45.051208	-93.117859	-483-6631	-483-6945	XX
"EMERGENCY VEHICLE GROUP, INC."	2883 E. CORONADO ST.	ANAHEIM		CA	US	92806	33.852916	-117.867257	714-238-0110	714-238-0120	XX
"COPPER STATE SUPPLY, INC."	2942 N GREENFIELD RD-SUITE 151	MESSA		AZ	US	85215	33.46863	-111.736493	480-807-5430	480-807-5492	XX
WEIDNER FIRE	135 WEST 7065 SOUTH	MIDVALE		UT		84047	40.62284	-111.895755	801-565-9595		XX
DANA KEPNER CO	700 ALCOTT ST	DENVER		CO	US	80204	39.726625	-105.017366	303-623-6161	303-623-1667	XX
KM FIRE PUMP SPECILIST	800 COUNTY RD 9 SE	WILLMAR		MN	US	56201	45.117852	-95.001853	320-235-5309	320-235-2341	XX
"GLICK FIRE EQUIPMENT CO, INC"	350 MILL CREEK ROAD	BIRD IN HAND		PA	US	17505	40.042685	-76.197964	717-299-4120	717-299-4324	XX
SM MOYER FIRE EQUIPMENT	146 WOODSIDE DR	BOYERTOWN		PA	US	19512	40.377782	-75.711836	610-367-6359	610-369-7154	XX
RMI-ROCKY MT IND. SUPPLY INC	1711 ENGLISH AVE	CASPER		WY	US	82601	42.856171	-106.344969	307-472-5519	307-472-3146	XX
"EJ METALS,INC."	1201 MAPLE CREEK LANE	NEW LONDON		WI	US	54961	44.418453	-88.723905	920-779-9913	920-779-9914	XX
